PROJECT,SITE_ID,DEPTH_FROM,DEPTH_TO,DRILLERRUNLENGTH,CORERECOVERED,RECOVERYPERCENT,RQD,RQDPERCENT,NOFRACTURES,ROCKSTRENGTH,DESCRIPTION
PROMHILL,PH08D383,469.0,470.7,1.7,1.6,100.0,1.53,90.0,15,R4,Strong Rock
PROMHILL,PH08D383,470.7,477.93,7.23,7.23,100.0,7.23,100.0,4,R4,Strong Rock
PROMHILL,PH08D383,477.93,483.88,5.95,5.95,100.0,5.95,100.0,4,R4,Strong Rock
PROMHILL,PH08D383,483.88,489.89,6.01,6.0,99.83,6.0,99.83,6,R4,Strong Rock
PROMHILL,PH08D383,489.89,495.89,6.0,5.94,100.0,5.95,99.17,12,R4,Strong Rock
PROMHILL,PH08D383,495.89,501.94,6.05,6.04,99.83,6.04,99.83,4,R4,Strong Rock
PROMHILL,PH08D383,501.94,507.94,6.0,6.0,100.0,6.0,100.0,6,R4,Strong Rock
PROMHILL,PH08D383,507.94,513.93,5.99,6.0,100.17,5.85,97.66,7,R4,Strong Rock
PROMHILL,PH08D383,513.93,519.93,6.0,6.0,100.0,5.96,99.33,9,R4,Strong Rock
PROMHILL,PH08D383,519.93,525.89,5.96,5.96,100.0,5.96,100.0,6,R4,Strong Rock
PROMHILL,PH08D383,525.89,531.89,6.0,6.0,100.0,5.97,99.5,8,R4,Strong Rock
PROMHILL,PH08D383,531.89,537.86,5.97,5.94,100.0,5.9,98.83,16,R4,Strong Rock
PROMHILL,PH08D383,537.86,543.87,6.01,5.85,100.0,5.97,99.33,10,R4,Strong Rock
PROMHILL,PH08D383,543.87,549.86,5.99,5.96,100.0,5.96,99.5,3,R4,Strong Rock
PROMHILL,PH08D383,549.86,555.88,6.02,6.02,100.0,6.02,100.0,6,R4,Strong Rock
PROMHILL,PH08D383,555.88,561.85,5.97,5.97,100.0,5.97,100.0,4,R4,Strong Rock
PROMHILL,PH08D383,561.85,567.8,5.95,5.92,100.0,5.91,99.33,6,R4,Strong Rock
PROMHILL,PH08D383,567.8,573.86,6.06,6.05,100.0,6.06,100.0,4,R4,Strong Rock
PROMHILL,PH08D383,573.86,576.0,2.14,2.14,100.0,3.08,143.93,5,R4,Strong Rock
PROMHILL,PH08D383,576.0,577.0,1.0,0.88,100.0,0.79,79.0,19,R4,Strong Rock
PROMHILL,PH08D383,577.0,579.78,2.78,2.78,100.0,2.78,100.0,0,R4,Strong Rock
PROMHILL,PH08D383,579.78,585.75,5.97,5.92,100.0,5.97,100.0,4,R4,Strong Rock
PROMHILL,PH08D383,585.75,591.73,5.98,5.96,100.17,5.99,100.0,9,R4,Strong Rock
PROMHILL,PH08D383,591.73,597.7,5.97,5.91,99.83,5.9,98.83,5,R4,Strong Rock
PROMHILL,PH08D383,597.7,603.69,5.99,5.97,100.0,5.97,99.67,4,R4,Strong Rock
PROMHILL,PH08D383,603.69,609.6,5.91,5.8,99.83,5.78,97.8,6,R4,Strong Rock
PROMHILL,PH08D383,609.6,615.63,6.03,5.97,100.0,5.92,98.18,14,R4,Strong Rock
PROMHILL,PH08D383,615.63,621.66,6.03,5.98,100.0,6.03,100.0,11,R4,Strong Rock
PROMHILL,PH08D383,621.66,627.68,6.02,6.0,100.0,5.99,99.5,3,R4,Strong Rock
PROMHILL,PH08D383,627.68,630.88,3.2,3.16,99.69,3.17,99.06,3,R4,Strong Rock
PROMHILL,PH08D383,630.88,637.38,6.5,6.44,100.0,6.5,100.0,9,R4,Strong Rock
PROMHILL,PH08D383,637.38,642.68,5.3,5.25,99.81,5.29,99.81,3,R4,Strong Rock
PROMHILL,PH08D383,642.68,648.69,6.01,5.97,100.0,5.94,98.84,4,R4,Strong Rock
PROMHILL,PH08D383,648.69,654.74,6.05,6.02,99.83,6.04,99.83,1,R4,Strong Rock
PROMHILL,PH08D383,654.74,660.75,6.01,6.01,100.0,5.85,97.34,8,R4,Strong Rock
PROMHILL,PH08D383,660.75,665.27,4.52,4.51,99.78,4.46,98.67,7,R4,Strong Rock
PROMHILL,PH08D383,665.27,671.0,5.73,5.68,100.0,5.5,95.99,15,R4,Strong Rock
PROMHILL,PH08D383,671.0,676.0,5.0,4.92,100.0,4.64,92.8,15,R4,Strong Rock
PROMHILL,PH08D383,676.0,682.0,6.0,6.0,100.0,5.93,98.83,10,R4,Strong Rock
PROMHILL,PH08D383,682.0,688.0,6.0,6.0,100.0,5.92,98.67,6,R4,Strong Rock
PROMHILL,PH08D383,688.0,694.0,6.0,6.0,100.0,6.0,100.0,5,R4,Strong Rock
PROMHILL,PH08D383,694.0,699.0,5.0,5.0,100.0,4.75,95.0,13,R4,Strong Rock
PROMHILL,PH08D383,699.0,703.0,4.0,3.89,100.0,3.55,88.75,21,R4,Strong Rock
PROMHILL,PH08D383,703.0,709.0,6.0,5.95,100.0,5.81,96.83,12,R4,Strong Rock
PROMHILL,PH08D383,709.0,714.0,5.0,5.0,100.0,4.83,96.6,13,R4,Strong Rock
PROMHILL,PH08D383,714.0,720.0,6.0,5.98,100.0,5.98,99.67,8,R4,Strong Rock
PROMHILL,PH08D383,720.0,726.0,6.0,6.0,100.0,5.96,99.33,12,R4,Strong Rock
PROMHILL,PH08D383,726.0,732.0,6.0,6.0,100.0,5.75,95.83,12,R4,Strong Rock
PROMHILL,PH08D383,732.0,738.0,6.0,5.7,98.83,5.47,91.17,8,R4,Strong Rock
PROMHILL,PH08D383,738.0,744.0,6.0,5.36,95.83,5.22,87.0,12,R4,Strong Rock
PROMHILL,PH08D383,744.0,750.0,6.0,5.77,99.5,5.76,96.0,8,R4,Strong Rock
PROMHILL,PH08D383,750.0,756.0,6.0,5.66,100.17,5.66,94.33,15,R4,Strong Rock
PROMHILL,PH08D383,756.0,762.0,6.0,4.74,99.0,5.37,89.5,18,R4,Strong Rock
PROMHILL,PH08D383,762.0,768.0,6.0,5.68,98.5,5.68,94.67,11,R4,Strong Rock
PROMHILL,PH08D383,768.0,774.0,6.0,5.69,98.83,5.65,94.17,7,R4,Strong Rock
PROMHILL,PH08D383,774.0,778.9,4.9,4.59,95.92,4.48,91.43,9,R4,Strong Rock
PROMHILL,PH08D383,778.9,785.0,6.1,6.2,102.3,5.96,97.7,7,R4,Strong Rock
PROMHILL,PH08D383,785.0,791.0,6.0,5.58,96.17,5.58,93.0,5,R4,Strong Rock
PROMHILL,PH08D383,791.0,795.5,4.5,3.76,96.0,3.53,78.44,12,R4,Strong Rock
PROMHILL,PH08D383,795.5,800.0,4.5,4.26,97.56,4.1,91.11,15,R4,Strong Rock
PROMHILL,PH08D383,800.0,806.0,6.0,6.01,100.17,5.71,95.17,14,R4,Strong Rock
PROMHILL,PH08D383,806.0,812.0,6.0,6.0,100.0,5.85,97.5,7,R4,Strong Rock
PROMHILL,PH08D383,812.0,816.0,4.0,4.0,100.0,3.92,98.0,15,R4,Strong Rock
PROMHILL,PH08D383,816.0,822.0,6.0,6.0,100.0,5.88,98.0,6,R4,Strong Rock
PROMHILL,PH08D383,822.0,828.0,6.0,5.98,100.0,5.77,96.17,15,R4,Strong Rock
PROMHILL,PH08D383,828.0,832.0,4.0,4.0,100.0,2.81,70.25,7,R4,Strong Rock
PROMHILL,PH08D383,832.0,838.0,6.0,6.0,100.0,5.71,95.17,13,R4,Strong Rock
PROMHILL,PH08D383,838.0,844.0,6.0,5.93,100.0,5.8,96.67,10,R4,Strong Rock
PROMHILL,PH08D383,844.0,850.0,6.0,6.0,100.0,6.0,100.0,4,R4,Strong Rock
PROMHILL,PH08D383,850.0,856.0,6.0,5.8,100.0,5.65,94.17,9,R4,Strong Rock
PROMHILL,PH08D383,856.0,860.45,4.45,4.39,100.0,4.39,98.65,9,R4,Strong Rock
PROMHILL,PH08D383,860.45,865.0,4.55,4.55,100.0,4.46,98.02,5,R4,Strong Rock
PROMHILL,PH08D383,865.0,867.64,2.64,2.64,100.0,2.64,100.0,3,R4,Strong Rock
PROMHILL,PH08D383,867.64,872.0,4.36,4.46,102.29,4.46,100.0,4,R5,Very Strong Rock
PROMHILL,PH08D383,872.0,878.0,6.0,6.0,100.0,6.0,100.0,3,R5,Very Strong Rock
PROMHILL,PH08D383,878.0,884.0,6.0,6.0,100.0,6.0,100.0,6,R5,Very Strong Rock
PROMHILL,PH08D383,884.0,890.0,6.0,6.0,100.0,6.0,100.0,7,R5,Very Strong Rock
PROMHILL,PH08D383,890.0,896.0,6.0,6.0,100.0,5.96,99.33,10,R5,Very Strong Rock
PROMHILL,PH08D383,896.0,902.0,6.0,6.0,100.0,6.0,100.0,3,R5,Very Strong Rock
PROMHILL,PH08D383,902.0,908.0,6.0,6.0,100.0,6.0,100.0,4,R5,Very Strong Rock
PROMHILL,PH08D383,908.0,914.0,6.0,6.0,100.0,6.0,100.0,4,R5,Very Strong Rock
PROMHILL,PH08D383,914.0,920.0,6.0,6.0,100.0,6.0,100.0,9,R5,Very Strong Rock
PROMHILL,PH08D383,920.0,926.0,6.0,6.0,100.0,6.0,100.0,7,R5,Very Strong Rock
PROMHILL,PH08D383,926.0,932.0,6.0,6.0,100.0,6.0,100.0,5,R5,Very Strong Rock
PROMHILL,PH08D383,932.0,934.5,2.5,2.5,100.0,2.5,100.0,1,R5,Very Strong Rock
PROMHILL,PH08D383,934.5,940.0,5.5,5.51,100.18,5.51,100.0,4,R4,Strong Rock
PROMHILL,PH08D383,940.0,946.0,6.0,6.0,100.0,5.93,98.83,6,R4,Strong Rock
PROMHILL,PH08D383,946.0,952.0,6.0,5.91,98.5,5.91,98.5,3,R5,Very Strong Rock
PROMHILL,PH08D383,952.0,952.89,0.89,0.62,100.0,0.57,64.04,9,R4,Strong Rock
PROMHILL,PH08D383,952.89,955.8,2.91,2.86,99.31,2.59,89.0,7,R4,Strong Rock
PROMHILL,PH08D383,955.8,962.0,6.2,6.19,99.84,6.05,97.58,10,R5,Very Strong Rock
PROMHILL,PH08D383,962.0,968.05,6.05,6.05,100.0,5.93,98.02,11,R5,Very Strong Rock
PROMHILL,PH08D383,968.05,974.0,5.95,5.96,100.17,5.8,97.48,5,R5,Very Strong Rock
PROMHILL,PH08D383,974.0,980.0,6.0,6.0,100.0,5.55,92.5,12,R5,Very Strong Rock
PROMHILL,PH08D383,980.0,983.47,3.47,3.47,100.0,3.47,100.0,2,R5,Very Strong Rock
PROMHILL,PH08D383,983.47,989.0,5.53,5.53,100.0,5.53,100.0,2,R5,Very Strong Rock
PROMHILL,PH08D383,989.0,993.0,4.0,3.57,95.0,3.48,87.0,10,R5,Very Strong Rock
PROMHILL,PH08D383,993.0,997.0,4.0,4.0,100.0,3.79,94.75,7,R5,Very Strong Rock
PROMHILL,PH08D383,997.0,1000.19,3.19,3.19,100.0,3.16,99.06,6,R5,Very Strong Rock
PROMHILL,PH08D383,1000.19,1006.0,5.81,4.98,95.35,4.74,81.58,13,R4,Strong Rock
PROMHILL,PH08D383,1006.0,1012.0,6.0,5.9,98.33,5.47,91.17,7,R4,Strong Rock
PROMHILL,PH08D383,1012.0,1016.3,4.3,4.2,97.67,4.2,97.67,4,R4,Strong Rock
PROMHILL,PH08D385,135.6,136.0,0.4,0.0,100.0,0.0,0.0,9999,S2,Soft Clay
PROMHILL,PH08D385,136.0,137.0,1.0,0.89,100.0,0.72,72.0,56,R4,Strong Rock
PROMHILL,PH08D385,137.0,137.4,0.4,0.0,100.0,0.0,0.0,9999,R4,Strong Rock
PROMHILL,PH08D385,137.4,138.9,1.5,1.15,100.0,0.88,58.67,35,R4,Strong Rock
PROMHILL,PH08D385,138.9,140.0,1.1,1.0,97.27,0.98,89.09,5,R4,Strong Rock
PROMHILL,PH08D385,140.0,143.0,3.0,2.31,90.0,1.8,60.0,45,R4,Strong Rock
PROMHILL,PH08D385,143.0,148.0,5.0,1.71,86.0,0.73,14.6,9999,R4,Strong Rock
PROMHILL,PH08D385,148.0,152.0,4.0,3.32,99.25,2.45,61.25,52,R4,Strong Rock
PROMHILL,PH08D385,152.0,156.0,4.0,3.72,100.5,2.77,69.25,48,R4,Strong Rock
PROMHILL,PH08D385,156.0,160.0,4.0,3.23,100.0,1.27,31.75,9999,R4,Strong Rock
PROMHILL,PH08D385,160.0,164.55,4.55,4.08,99.56,1.88,41.32,37,R4,Strong Rock
PROMHILL,PH08D385,164.55,164.75,0.2,0.0,100.0,0.0,0.0,9999,R4,Strong Rock
PROMHILL,PH08D385,164.75,168.0,3.25,3.15,100.0,3.0,92.31,17,R4,Strong Rock
PROMHILL,PH08D385,168.0,172.0,4.0,3.66,95.0,3.38,84.5,14,R4,Strong Rock
PROMHILL,PH08D385,172.0,176.0,4.0,3.82,99.75,3.32,83.0,24,R4,Strong Rock
PROMHILL,PH08D385,176.0,180.0,4.0,3.0,95.5,1.86,46.5,9999,R4,Strong Rock
PROMHILL,PH08D385,180.0,184.0,4.0,3.82,100.0,3.42,85.5,26,R4,Strong Rock
PROMHILL,PH08D385,184.0,188.0,4.0,3.39,95.0,2.25,56.25,51,R4,Strong Rock
PROMHILL,PH08D385,188.0,189.5,1.5,1.48,100.0,1.3,86.67,11,R4,Strong Rock
PROMHILL,PH08D385,189.5,193.0,3.5,2.29,98.86,2.09,59.71,19,R4,Strong Rock
PROMHILL,PH08D385,193.0,197.0,4.0,3.95,100.0,3.83,95.75,17,R4,Strong Rock
PROMHILL,PH08D385,197.0,200.0,3.0,2.38,87.67,2.1,70.0,44,R4,Strong Rock
PROMHILL,PH08D385,200.0,204.0,4.0,3.98,100.0,3.81,95.25,9,R4,Strong Rock
PROMHILL,PH08D385,204.0,210.0,6.0,3.59,100.0,2.92,48.67,30,R4,Strong Rock
PROMHILL,PH08D385,210.0,215.0,5.0,4.88,99.6,4.49,89.8,22,R4,Strong Rock
PROMHILL,PH08D385,215.0,221.0,6.0,4.52,99.33,1.5,25.0,9999,R4,Strong Rock
PROMHILL,PH08D385,221.0,227.0,6.0,5.93,100.33,5.55,92.5,32,R4,Strong Rock
PROMHILL,PH08D385,227.0,233.0,6.0,5.94,100.17,5.67,94.5,21,R4,Strong Rock
PROMHILL,PH08D385,233.0,237.3,4.3,3.29,100.7,3.18,73.95,6,R4,Strong Rock
PROMHILL,PH08D385,237.3,239.0,1.7,1.38,98.82,0.95,55.88,35,R4,Strong Rock
PROMHILL,PH08D385,239.0,245.0,6.0,5.39,100.0,5.08,84.67,13,R4,Strong Rock
PROMHILL,PH08D385,245.0,249.3,4.3,4.3,100.0,4.14,96.28,11,R4,Strong Rock
PROMHILL,PH08D385,249.3,254.0,4.7,4.5,99.79,4.21,89.57,19,R4,Strong Rock
PROMHILL,PH08D385,254.0,260.0,6.0,5.58,100.0,5.58,93.0,3,R4,Strong Rock
PROMHILL,PH08D385,260.0,265.0,5.0,4.87,100.0,4.54,90.8,15,R4,Strong Rock
PROMHILL,PH08D385,265.0,270.0,5.0,5.0,100.0,4.45,89.0,16,R4,Strong Rock
PROMHILL,PH08D385,270.0,274.8,4.8,4.78,100.21,4.36,90.83,13,R4,Strong Rock
PROMHILL,PH08D385,274.8,280.0,5.2,4.34,96.15,2.98,57.31,9999,R4,Strong Rock
PROMHILL,PH08D385,280.0,285.42,5.42,5.36,100.0,5.27,97.23,5,R4,Strong Rock
PROMHILL,PH08D385,285.42,290.28,4.86,4.54,101.03,3.72,76.54,38,R4,Strong Rock
PROMHILL,PH08D385,290.28,291.0,0.72,0.6,102.78,0.37,51.39,14,R4,Strong Rock
PROMHILL,PH08D385,291.0,295.58,4.58,4.57,100.0,4.46,97.38,6,R4,Strong Rock
PROMHILL,PH08D385,295.58,298.0,2.42,2.25,102.48,1.71,70.66,22,R4,Strong Rock
PROMHILL,PH08D385,298.0,303.21,5.21,5.2,100.0,5.07,97.31,7,R4,Strong Rock
PROMHILL,PH08D385,303.21,304.0,0.79,0.27,100.0,0.1,12.66,32,R4,Strong Rock
PROMHILL,PH08D385,304.0,309.0,5.0,4.71,100.0,4.42,88.4,25,R4,Strong Rock
PROMHILL,PH08D385,309.0,312.0,3.0,2.88,100.0,2.48,82.67,20,R4,Strong Rock
PROMHILL,PH08D385,312.0,315.0,3.0,2.91,100.0,2.37,79.0,16,R4,Strong Rock
PROMHILL,PH08D385,315.0,320.0,5.0,4.65,100.0,4.23,84.6,22,R4,Strong Rock
PROMHILL,PH08D385,320.0,324.0,4.0,3.89,100.0,3.64,91.0,20,R4,Strong Rock
PROMHILL,PH08D385,324.0,327.61,3.61,3.57,100.0,5.21,144.32,19,R4,Strong Rock
PROMHILL,PH08D385,327.61,329.0,1.39,0.59,94.24,0.12,8.63,16,R3,Medium Strong Rock
PROMHILL,PH08D385,329.0,335.0,6.0,5.57,100.0,5.38,89.67,10,R4,Strong Rock
PROMHILL,PH08D385,335.0,339.0,4.0,3.87,100.0,3.42,85.5,18,R4,Strong Rock
PROMHILL,PH08D385,339.0,342.8,3.8,3.76,100.0,3.6,94.74,9,R4,Strong Rock
PROMHILL,PH08D385,342.8,344.0,1.2,0.27,100.0,0.11,9.17,9999,R4,Strong Rock
PROMHILL,PH08D385,344.0,347.0,3.0,1.23,100.0,1.11,37.0,9999,R4,Strong Rock
PROMHILL,PH08D385,347.0,351.0,4.0,0.79,100.0,0.53,13.25,9999,R4,Strong Rock
PROMHILL,PH08D385,351.0,356.0,5.0,1.42,100.0,0.99,19.8,9999,R4,Strong Rock
PROMHILL,PH08D385,356.0,356.39,0.39,0.0,100.0,0.0,0.0,9999,R4,Strong Rock
PROMHILL,PH08D385,356.39,362.0,5.61,3.02,99.47,1.59,28.34,51,R4,Strong Rock
PROMHILL,PH08D385,362.0,367.0,5.0,4.86,100.0,4.33,86.6,29,R4,Strong Rock
PROMHILL,PH08D385,367.0,372.15,5.15,5.15,100.0,4.92,95.53,15,R4,Strong Rock
PROMHILL,PH08D385,372.15,376.0,3.85,3.75,100.0,3.61,93.77,9,R4,Strong Rock
PROMHILL,PH08D385,376.0,379.61,3.61,3.24,94.46,2.99,82.83,19,R4,Strong Rock
PROMHILL,PH08D385,379.61,380.0,0.39,0.11,97.44,0.0,0.0,9999,R4,Strong Rock
PROMHILL,PH08D385,380.0,382.32,2.32,2.25,100.0,2.09,90.09,6,R4,Strong Rock
PROMHILL,PH08D385,382.32,387.06,4.74,4.73,99.79,4.73,99.79,6,R4,Strong Rock
PROMHILL,PH08D385,387.06,389.0,1.94,1.85,99.48,1.48,76.29,14,R4,Strong Rock
PROMHILL,PH08D385,389.0,392.13,3.13,2.85,100.0,2.29,73.16,23,R4,Strong Rock
PROMHILL,PH08D385,392.13,397.7,5.57,5.56,100.0,5.33,95.69,10,R5,Very Strong Rock
PROMHILL,PH08D385,397.7,402.64,4.94,4.84,99.8,4.43,89.68,15,R5,Very Strong Rock
PROMHILL,PH08D385,402.64,405.53,2.89,2.89,100.0,2.42,83.74,12,R5,Very Strong Rock
PROMHILL,PH08D385,405.53,406.2,0.67,0.39,98.51,0.1,14.93,16,R5,Very Strong Rock
PROMHILL,PH08D385,406.2,408.0,1.8,1.63,100.0,1.31,72.78,19,R5,Very Strong Rock
PROMHILL,PH08D385,408.0,412.43,4.43,4.24,100.0,3.88,87.58,21,R5,Very Strong Rock
PROMHILL,PH08D385,412.43,415.48,3.05,2.62,99.67,2.09,68.52,26,R4,Strong Rock
PROMHILL,PH08D385,415.48,416.28,0.8,0.08,100.0,0.0,0.0,9999,R4,Strong Rock
PROMHILL,PH08D385,416.28,421.0,4.72,4.57,99.58,4.14,87.71,22,R4,Strong Rock
PROMHILL,PH08D385,421.0,423.0,2.0,1.58,100.0,0.94,47.0,24,R4,Strong Rock
PROMHILL,PH08D385,423.0,429.0,6.0,5.25,96.67,4.79,79.83,24,R4,Strong Rock
PROMHILL,PH08D385,429.0,435.0,6.0,5.36,99.33,5.04,84.0,14,R4,Strong Rock
PROMHILL,PH08D385,435.0,440.0,5.0,4.97,99.4,4.75,95.0,4,R4,Strong Rock
PROMHILL,PH08D385,440.0,444.1,4.1,4.07,99.27,4.07,99.27,2,R4,Strong Rock
PROMHILL,PH08D385,444.1,445.0,0.9,0.82,100.0,0.64,71.11,9999,R4,Strong Rock
PROMHILL,PH08D385,445.0,447.59,2.59,2.58,100.0,2.59,100.0,2,R4,Strong Rock
PROMHILL,PH08D385,447.59,453.91,6.32,6.32,100.0,6.32,100.0,4,R4,Strong Rock
PROMHILL,PH08D385,453.91,459.89,5.98,5.98,100.0,5.98,100.0,3,R5,Very Strong Rock
PROMHILL,PH08D385,459.89,463.8,3.91,3.71,100.0,3.83,97.95,27,R5,Very Strong Rock
PROMHILL,PH08D385,463.8,467.93,4.13,4.1,100.0,3.92,94.92,9,R5,Very Strong Rock
PROMHILL,PH08D385,467.93,471.26,3.33,3.31,100.0,3.21,96.4,9,R5,Very Strong Rock
PROMHILL,PH08D385,471.26,477.0,5.74,5.09,97.91,4.7,81.88,14,R4,Strong Rock
PROMHILL,PH08D385,477.0,483.0,6.0,4.61,97.0,3.52,58.67,28,R4,Strong Rock
PROMHILL,PH08D385,483.0,489.0,6.0,5.35,99.67,4.85,80.83,10,R4,Strong Rock
PROMHILL,PH08D385,489.0,491.5,2.5,2.17,97.6,1.82,72.8,6,R4,Strong Rock
PROMHILL,PH08D385,491.5,497.0,5.5,2.98,90.36,2.67,48.55,25,R4,Strong Rock
PROMHILL,PH08D385,497.0,503.0,6.0,4.08,92.83,3.64,60.67,30,R4,Strong Rock
PROMHILL,PH08D385,503.0,505.0,2.0,0.23,77.5,0.0,0.0,9999,R4,Strong Rock
PROMHILL,PH08D385,505.0,507.94,2.94,2.74,100.0,2.74,93.2,18,R4,Strong Rock
PROMHILL,PH08D385,507.94,509.24,1.3,1.28,100.0,0.43,33.08,13,R4,Strong Rock
PROMHILL,PH08D385,509.24,513.89,4.65,4.51,100.0,4.49,96.56,15,R4,Strong Rock
PROMHILL,PH08D385,513.89,516.88,2.99,2.6,99.67,2.68,89.63,22,R4,Strong Rock
PROMHILL,PH08D385,516.88,517.23,0.35,0.03,100.0,0.0,0.0,16,R4,Strong Rock
PROMHILL,PH08D385,517.23,517.95,0.72,0.62,100.0,0.69,95.83,1,R4,Strong Rock
PROMHILL,PH08D385,517.95,519.0,1.05,0.0,80.95,0.0,0.0,9999,R4,Strong Rock
PROMHILL,PH08D385,519.0,521.67,2.67,2.54,100.0,2.52,94.38,18,R4,Strong Rock
PROMHILL,PH08D385,521.67,523.38,1.71,1.67,100.0,1.49,87.13,8,R4,Strong Rock
PROMHILL,PH08D385,523.38,523.67,0.29,0.0,100.0,0.0,0.0,9999,R3,Medium Strong Rock
PROMHILL,PH08D385,523.67,525.95,2.28,2.07,100.0,1.76,77.19,18,R4,Strong Rock
PROMHILL,PH08D385,525.95,528.56,2.61,1.08,84.67,0.88,33.72,44,R4,Strong Rock
PROMHILL,PH08D385,528.56,531.04,2.48,2.36,99.19,2.39,96.37,12,R4,Strong Rock
PROMHILL,PH08D385,531.04,531.32,0.28,0.0,100.0,0.0,0.0,9999,R4,Strong Rock
PROMHILL,PH08D385,531.32,532.39,1.07,1.05,100.0,1.02,95.33,3,R4,Strong Rock
PROMHILL,PH08D385,532.39,535.61,3.22,2.74,99.69,2.87,89.13,21,R4,Strong Rock
PROMHILL,PH08D385,535.61,539.16,3.55,1.89,91.55,1.04,29.3,63,R4,Strong Rock
PROMHILL,PH08D385,539.16,540.2,1.04,0.0,100.0,0.0,0.0,36,R4,Strong Rock
PROMHILL,PH08D385,540.2,541.65,1.45,1.3,100.0,1.08,74.48,20,R4,Strong Rock
PROMHILL,PH08D385,541.65,543.93,2.28,2.15,99.56,2.09,91.67,10,R4,Strong Rock
PROMHILL,PH08D385,543.93,549.96,6.03,5.9,100.0,5.88,97.51,7,R4,Strong Rock
PROMHILL,PH08D385,549.96,555.76,5.8,5.72,100.0,5.45,93.97,17,R4,Strong Rock
PROMHILL,PH08D385,555.76,561.95,6.19,6.17,100.0,6.03,97.42,9,R4,Strong Rock
PROMHILL,PH08D385,561.95,565.23,3.28,3.27,100.0,3.19,97.26,5,R4,Strong Rock
PROMHILL,PH08D385,565.23,571.66,6.43,6.44,100.16,6.38,99.22,13,R4,Strong Rock
PROMHILL,PH08D385,571.66,574.0,2.34,2.35,100.43,2.35,100.0,1,R4,Strong Rock
PROMHILL,PH08D385,574.0,580.0,6.0,6.0,100.0,6.0,100.0,1,R4,Strong Rock
PROMHILL,PH08D385,580.0,586.0,6.0,5.98,100.0,5.94,99.0,6,R4,Strong Rock
PROMHILL,PH08D385,586.0,592.0,6.0,6.0,100.0,6.0,100.0,3,R4,Strong Rock
PROMHILL,PH08D385,592.0,599.2,7.2,7.2,100.0,7.07,98.19,20,R4,Strong Rock
PROMHILL,PH08D385,599.2,601.74,2.54,2.49,100.0,1.17,46.06,21,R3,Medium Strong Rock
PROMHILL,PH08D385,601.74,603.05,1.31,0.9,96.95,0.27,20.61,24,R3,Medium Strong Rock
PROMHILL,PH08D385,603.05,606.88,3.83,3.82,99.74,3.56,92.95,14,R4,Strong Rock
PROMHILL,PH08D385,606.88,613.0,6.12,6.13,100.16,5.89,96.24,13,R4,Strong Rock
PROMHILL,PH08D385,613.0,619.0,6.0,6.0,100.0,5.72,95.33,13,R4,Strong Rock
PROMHILL,PH08D385,619.0,625.0,6.0,6.0,100.0,5.59,93.17,9,R4,Strong Rock
PROMHILL,PH08D385,625.0,631.0,6.0,6.0,100.0,5.7,95.0,20,R4,Strong Rock
PROMHILL,PH08D385,631.0,637.0,6.0,5.9,100.0,5.67,94.5,25,R4,Strong Rock
PROMHILL,PH08D385,637.0,643.0,6.0,6.0,100.0,5.11,85.17,32,R4,Strong Rock
PROMHILL,PH08D385,643.0,649.0,6.0,6.0,100.0,5.92,98.67,12,R4,Strong Rock
PROMHILL,PH08D385,649.0,655.0,6.0,6.0,100.0,5.9,98.33,7,R4,Strong Rock
PROMHILL,PH08D385,655.0,661.0,6.0,5.93,100.0,5.75,95.83,9,R4,Strong Rock
PROMHILL,PH08D385,661.0,667.0,6.0,6.0,100.0,6.0,100.0,5,R4,Strong Rock
PROMHILL,PH08D385,667.0,669.26,2.26,2.26,100.0,2.02,89.38,10,R4,Strong Rock
PROMHILL,PH08D385,669.26,669.6,0.34,0.06,67.65,0.0,0.0,9999,R4,Strong Rock
PROMHILL,PH08D385,669.6,673.0,3.4,3.4,100.0,3.34,98.24,7,R4,Strong Rock
PROMHILL,PH08D385,673.0,679.0,6.0,6.0,100.0,6.0,100.0,2,R4,Strong Rock
PROMHILL,PH08D385,679.0,684.9,5.9,5.94,100.0,5.9,100.0,7,R4,Strong Rock
PROMHILL,PH08D386,149.5,153.68,4.18,3.9,94.02,3.8,90.91,8,R4,Strong Rock
PROMHILL,PH08D386,153.68,154.2,0.52,0.0,53.85,0.0,0.0,9999,R4,Strong Rock
PROMHILL,PH08D386,154.2,156.51,2.31,2.18,97.84,2.1,90.91,12,R4,Strong Rock
PROMHILL,PH08D386,156.51,158.26,1.75,1.74,99.43,1.56,89.14,4,R4,Strong Rock
PROMHILL,PH08D386,158.26,161.79,3.53,3.43,101.13,3.31,93.77,20,R4,Strong Rock
PROMHILL,PH08D386,161.79,163.65,1.86,1.28,96.77,1.28,68.82,18,R4,Strong Rock
PROMHILL,PH08D386,163.65,165.32,1.67,0.48,97.01,0.0,0.0,9999,R4,Strong Rock
PROMHILL,PH08D386,165.32,168.93,3.61,3.6,101.94,3.35,92.8,16,R4,Strong Rock
PROMHILL,PH08D386,168.93,174.96,6.03,6.05,100.33,5.84,96.85,25,R4,Strong Rock
PROMHILL,PH08D386,174.96,179.47,4.51,4.5,99.78,4.4,97.56,13,R4,Strong Rock
PROMHILL,PH08D386,179.47,185.87,6.4,6.48,101.25,6.39,99.84,15,R4,Strong Rock
PROMHILL,PH08D386,185.87,192.11,6.24,6.23,99.84,5.85,93.75,15,R4,Strong Rock
