MAP_SYMBOL,GIS_CODE,STRAT_NAME,STRAT_UNIT_DESC
"LP","LP","Palaeoproterozoic-Permian rocks","Undifferentiated Palaeoproterozoic to Permian (Proterozoic to Permian) rocks."
"La","L--a","Lady Louise Suite","Amphibolite, quartz-bearing, tholeiitic, locally differentiated to hornblende granite, intrusive sills and dykes, metamorphosed and deformed. Granodiorite to monzogranite, A-type (Tonga Hill/Antro). U-Pb age 1685+/4Ma."
"La1","L--a----01","Lady Louise Suite unit 1","Amphibolite, coarse grained,  locally lineated, generally in the form of a sill and merging into granite differentiate (La2)."
"La2","L--a----02","Lady Louise Suite unit 2","Metagranite, medium grained, amphibole- and biotite-bearing, generally in the form of a sill merging into related amphibolite (La1)."
"La3","L--a----03","Lady Louise Suite unit 3","Granodiorite to monzogranite, A-type affinity, magnetite-bearing, locally porphyritic.  Variable alkali+/-calcsilicate alteration and brecciation. Antro Woolshed (U-Pb age ~1682Ma) and Tonga Hill."
"Lb","L-b","Barossa Complex","Paragneiss, quartzofeldspathic, quartzitic, pelitic and calc-silicate, layered or banded, gneissic and retrogressed, maximum deposition ~1740 Ma; granitic orthogneiss ~1701 Ma. Metamorphism ~1630-1610 Ma and ~1590-1550 Ma. Minor granite (1578 Ma), pegmatite and amphibolite dykes."
"Lb1","L-b-----01","Barossa Complex unit 1","Calcsilicate gneiss (Houghton ""Diorite""): ADELAIDE/BARKER digital database."
"Lb10","L-b-----10","Barossa Complex unit 10","Schist, sericitic, talcose; based on lined unit on Milang 1-mile map."
"Lb2","L-b-----02","Barossa Complex unit 2","Gneiss, 'lit-par-lit' injected, banded or migmatitic; based on white-banded unit on Gawler 1-mile map and while-dashed unit on Yankalilla 1-mile map."
"Lb3","L-b-----03","Barossa Complex unit 3","Gneiss, augen-textured; based on white-and-red-dotted unit on Gawler 1-mile map."
"Lb4","L-b-----04","Barossa Complex unit 4","Schist or gneiss, albitised, with actinolite and diopside; based on green-hachured unit on Gawler 1-mile map."
"Lb5","L-b-----05","Barossa Complex unit 5","Schist, augen-textured; gneiss, micaceous; based on unit with S-and-dot pattern on Onkaparinga 1:50 000 map."
"Lb6","L-b-----06","Barossa Complex unit 6","Schist and gneiss, micaceous; [granite gneiss and quartzite NNE of Millbrook Reservoir]; based on unit with close-spaced S-symbols on Onkaparinga 1:50 000 map."
"Lb7","L-b-----07","Barossa Complex unit 7","Gneiss, quartz+feldspar+mica; based on unit with squiggles on Onkaparinga 1:50 000 map."
"Lb8","L-b-----08","Barossa Complex unit 8","Slate, blue, phyllitic; based on red-dotted unit on Yankalilla 1-mile map."
"Lb9","L-b-----09","Barossa Complex unit 9","Quartzites; based on red-dotted unit on Milang 1-mile map."
"Ld","L--d","Donington Suite","Granite to granodiorite gneiss, megacrystic; hypersthene granodiorite to charnockite; quartz gabbronorite; dykes of hornblende and alkali-feldspar granite and metadolerite. I-type, 1860-1841 Ma."
"Ld1","L--d----01","Donington Suite unit 1","Quartz gabbronorite."
"Ld2","L--d----02","Donington Suite unit 2","Orbicular granodiorite."
"Ld3","L--d----03","Donington Suite unit 3","Gneiss, layered biotite-hornblende microadamellite; interlayered and concordant with the Gleesons Landing Granite. Southern Yorke Peninsula."
"Ld4","L--d----04","Donington Suite unit 4","Weakly foliated plag+qtz+bio+hbl+microcline granodiorite. Southern Yorke Peninsula."
"Ld5","L--d----05","Donington Suite unit 5","Biotite-qtz-plag-Kspar metasedimentary or meta-amphibolite schist.  Southern Yorke Peninsula."
"Ld6","L--d----06","Donington Suite unit 6","Hornblende gneiss: qtz+plag+hbl+bio+/-microcline+/-cpx: migmatitic paragneiss xenoliths, intercalated with Gleesons Landing Granite. Southern Yorke Peninsula."
"Ldc","L--d-c","Colbert Granite","Granite-gneiss, massive, foliated, medium-grained equigranular."
"Ldg","L--d-g","Gleesons Landing Granite","I-type foliated syenogranite, adamellite, tonalite, augen gneiss. U-Pb age 1850Ma."
"Ldg1","L--d-g--01","Gleesons Landing Granite unit 1","Foliated biotite syenogranite: microcline-qtz-plag-bio."
"Ldg2","L--d-g--02","Gleesons Landing Granite unit 2","Adamellite, foliated megacrystic hornblende-biotite: microcline-qtz-plag-hbl-bio-mgt."
"Ldg3","L--d-g--03","Gleesons Landing Granite unit 3","Foliated hornblende tonalite: plag-qtz-hbl-microcline-sphene-epidote-cpx."
"Ldg4","L--d-g--04","Gleesons Landing Granite unit 4","Augen gneiss: microcline augen in plag-quartz-microcline-bio gneiss matrix; intensely sheared."
"Ldj","L--d-j","Jussieu Metadolerite","Metadolerite dykes and enclaves."
"Ldm","L--d-m","Memory Cove Charnockite","Granite gneiss, medium to coarse-grained, felsic hypersthene. Foliated in places, locally porphyritic."
"Ldr","L--d-r","Royston Granite","Adamellite to syenogranite; foliated to undeformed. Southern Yorke Peninsula."
"Ldw","L--d-w","Wanna Megacrystic Granite Gneiss","Granite-gneiss, weakly to strongly foliated, mafic rich, coarse-grained, meagcrystic; granite-granodiorite augen gneiss, ovoid zoned plagioclase and K-fspar to 40 mm diam. Local mafic xenoliths."
"Le","L--e","Peake Metamorphics","Paragneiss, quartzitic, pelitic and calcsilicate; basalt, amygdaloidal; rhyolite, porphyritic; diorite; pegmatite. 1789-1733Ma."
"Le1","L--e----01","Peake Metamorphics unit 1","Paragneiss: schist, gneiss, quartzite, pegmatite, diorite. Based on Prot-d1 in Peake and Denison Ranges geology map."
"Le2","L--e----02","Peake Metamorphics unit 2","Schist, phyllite, rare sandstone; minor graded/cross bedding. Based on Prot-d2 on Peake and Denison Ranges geology map."
"Le3","L--e----03","Peake Metamorphics unit 3","Metasandstone, magnetite or epidote-rich; intermediate orthogneiss; pyroxene granulite; gneiss, quartz-feldspar, metavolcanic; amphibolite. 1746+/-6 Ma."
"Le4","L--e----04","Peake Metamorphics unit 4","Quartzite, rare epidote quartzite. Based on dotted unit within Prot-d1 (Le1) on Peake and Denison Ranges geology map."
"Leb","L--e-b","Baltucoodna Quartzite","Interbedded quartzite and basic volcanics. Quartzite grey-white, fine-grained metasandstone with graded bedding, and clay laminations. Foliated metabasalt."
"Leb1","L--e-b--01","Baltucoodna Quartzite unit 1","Quartzite, schist, gneiss, calcsilicate. Based on unit in Prot-db, Peake and Denison Ranges geology map."
"Leb2","L--e-b--02","Baltucoodna Quartzite unit 2","Basalt, phyllite, epidote-actinolite quartzite. Based on green unit with v pattern in Prot-db, Peake and Denison Ranges geology map."
"Let","L--e-t","Tidnamurkuna Volcanics","Basalt, metamorphosed amygdaloidal; porphyritic rhyolite; minor epidosite, phyllite and tremolitic marble. U-Pb ages 1789-1774 Ma."
"Let1","L--e-t--01","Tidnamurkuna Volcanics unit 1","Amygdaloidal basalt. Based on green unit in Prot-dt, Peake and Denison Ranges geology map."
"Let2","L--e-t--02","Tidnamurkuna Volcanics unit 2","Porphyritic rhyolite, ages (U-Pb) ~1789-1774 Ma; rare epidosite and marble. Based on pink unit in Prot-dt, Peake and Denison Ranges geology map."
"Lf","L--f","St Francis Suite","Leucogranite, equigranular to porphyritic, white to grey; leucocratic porphyry, white. A-type."
"Lf1","L--f----01","St Francis Suite unit 1","Grey, hornblende/pyroxene bearing granite, porphyritic granite. Intruded by L-n1, L-n2, L22. Based on Prot-gamma-6 on NUYTS."
"Lf2","L--f----02","St Francis Suite unit 2","Leucogranite, white-pink fine-medium, leucocratic porphyry. Intrudes L-n3, L22 (St Francis Is). Based on Prot-gamma-8 on NUYTS (except east of Point James)."
"Lf3","L--f----03","St Francis Suite unit 3","Massive, grey, pink porphyritic leucocratic granite. Intrudes Lp1, Lp5 (Cape Beaufort). Based on Prot-gamma7 on STREAKY BAY."
"Lh","L--h","Hutchison Group","Metasediments, quartzitic, pelitic and calc-silicate; iron formation; marble; amphibolite."
"Lhw","L--h-w","Warrow Quartzite","Quartzite, massive to flaggy and micaceous; pelitic schist; quartz-pebble conglomerate; minor calc-silicate gneiss and marble."
"Lhw1","L--h-w--01","Warrow Quartzite unit 1","Dolomitic marble, banded calcsilicate gneiss, minor cherty quartzite; basal unit."
"Lhy","L--h-y","Yadnarie Schist","Schist, quartz-feldspar-biotite-muscovite. Locally quartz-sericite banded metasiltstone, sericite porphyroblasts after sillimanite; minor interlayered quartz-magnetite gneiss."
"Lhy1","L--h-y--01","Yadnarie Schist unit 1","Quartz-sericite metasiltstone; minor quartz-magnetite gneiss. Based on Prot-hyp on KIMBA."
"Li","L--hi","Middleback Subgroup","Jaspilite; quartzite; gneiss; quartz-mica schist; dolomitic marble."
"Li1","L--hi---01","Middleback Subgroup unit 1","Lower and/or Upper Middleback Jaspilite: amphibole-magnetite schist and quartzite."
"Lia","L--hia","Mangalo Schist","Garnet-mica schist and gneiss, quartz veined.  Minor calcsilicate gneiss, magnetite bearing gneiss and concordant amphibolite.  Local migmatisation."
"Lic","L--hic","Cook Gap Schist","Schist, medium-grained,, biotite-garnet-sillimanite quartzo-feldspathic, grading to gneiss, migmatised in high-grade area, locally graphitic."
"Lic1","L--hic--01","Cook Gap Schist unit 1","Amphibolite, foliated, medium-grained to porphyritic."
"Lik","L--hik","Katunga Dolomite","Marble, white to pale grey, dolomitic, layered with serpentine, with calcite-diopside-tremolite banding."
"Lil","L--hil","Lower Middleback Jaspilite","Haematite, banded, with quartzite+magnetite, carbonate, schist and chert. Grades into jaspilite in places."
"Lir","L--hir","Burrawing Amphibolite","Amphibolite, fine to medium-grained, interbedded gradationally with banded diopside-hornblende-rich calcsilicate gneiss. LINCOLN sheet."
"Lis","L--his","Mount Shannan Iron Formation","Gneiss, quartz-magnetite-amphibole; magnetite-quartzite, banded ; minor dolomite and chert."
"Liu","L--hiu","Upper Middleback Jaspilite","Jaspilite."
"Lk","L-k","Kalabity Supersuite","Felsic intrusive and extrusive rocks; lesser mafic extrusive and intrusive rocks. U-Pb age 1720-1710Ma."
"Lk-n","L-k--n","Nancatee Granite","Granite, muscovite, fine-grained, foliated. S-type, age uncertain."
"Lk-p","L-k--p","Poodla Granodiorite","Granodiorite to monzogranite, I-type affinity, magnetite-bearing.  Variable alkali+/-calcsilicate alteration and brecciation.  U-Pb age ~1719Ma but unresolved, unit may be much younger. Poodla Hill."
"Lka","L-kza","Abminga Subsuite","Metavolcanic rocks, felsic, albitic, typically quartz-eye-phyric, pale brown, red-brown-weathering.  Commonly aphyric, locally feldspar-phyric.  Disseminated magnetite. 1720-1710Ma."
"Lka1","L-kza---01","Abminga Subsuite unit 1","Felsic volcanic units in George Mine Formation."
"Lka2","L-kza---02","Abminga Subsuite unit 2","Felsic volcanic units in Tommie Wattie Formation."
"Lka3","L-kza---03","Abminga Subsuite unit 3","Felsic volcanic/volcaniclastic units in Toraminga Formation."
"Lka4","L-kza---04","Abminga Subsuite unit 4","Felsic volcanic/volcaniclastic units in Peryhumuck Formation."
"Lkb","L-kb","Bumbumbie Suite","Mafic extrusive and intrusive rocks; tholeiitic, inferred age 1720-1710Ma."
"Lkm","L-kzm","Ameroo Subsuite","Metagranitoid, locally foliated; biotite gneiss; adamellite gneiss. A-type. Essentially concordant. 1715-1710Ma."
"Lko","L-kbo","Montstephen Subsuite","Mafic extrusive rocks; includes metabasalt, amygdaloidal and pillow-textured; commonly hydrothermally brecciated."
"Lkt","L-kbt","Tietz Subsuite","Mafic intrusive rocks; inferred age 1720-1710Ma."
"Lkz","L-kz","Basso Suite","Granofels, albitic; granite gneiss; derived from felsic volcanic rock and granite; generally Na-altered; A-type.  U-Pb age 1720-1710Ma."
"Ll","L-l","Lincoln Complex","Gneissic granite; granodiorite; adamellite. Veins of pegmatite and aplite."
"Lm","L--m","Palaeoproterozoic Grouping M rocks","Informal ""grouping M""; contains named units. Grit, metasandstone, metasiltstone, sandstone, conglomerate (Moonabie Formation), felsic and lesser mafic volcanics (A-type McGregor Volcanics, 1754 Ma)."
"Lmg","L--m-g","McGregor Volcanics","Volcanics, bimodal, acidic and lesser basaltic volcanics. ~1754 Ma."
"Lmg1","L--m-g--01","McGregor Volcanics unit 1","Basaltic andesite, ophitic, intersertal, hyalopilitic textures, lava flows."
"Lmm","L--m-m","Moonabie Formation","Massive grey to purplish volcaniclastic grit with pebble beds and heavy mineral laminae. Bedding rarely visible."
"Lmm1","L--m-m--01","Moonabie Formation unit 1","Basalt at base of Moonabie Formation. WHYALLA sheet."
"Lmm2","L--m-m--02","Moonabie Formation unit 2","Volcaniclastic grit. Roopena (PORT AUGUSTA)."
"Lmm3","L--m-m--03","Moonabie Formation unit 3","Metasandstone, very coarse to pebbly lithic . Roopena (PORT AUGUSTA)."
"Lmm4","L--m-m--04","Moonabie Formation unit 4","Metasandstone, medium to very coarse. Roopena (PORT AUGUSTA)."
"Lmm5","L--m-m--05","Moonabie Formation unit 5","Arenaceous metasiltstone. Roopena (PORT AUGUSTA)."
"Lmm6","L--m-m--06","Moonabie Formation unit 6","Sandstone, fine-medium, feldspathic. Roopena (PORT AUGUSTA)."
"Ln","L--n","Tunkillia Suite","Orthogneiss, granitic to quartz syenitic; biotite granite, adamellite and granodiorite; minor mylonite; minor amphibolite, rhyolite, rhyodacite and aplite dykes. Alkali-calcic, I-type, 1709-1666 Ma."
"Ln1","L--n----01","Tunkillia Suite unit 1","Orthogneiss: augen gneiss, coarse-grained; mafic gneiss, altered; breccia, epidote-chlorite-altered; aplite. CHILDARA 2nd edition."
"Ln2","L--n----02","Tunkillia Suite unit 2","Granite, fine-grained, grey to red-brown, biotite+/-magnetite, moderately foliated and altered. CHILDARA 2nd edition."
"Ln3","L--n----03","Tunkillia Suite unit 3","Mylonite, ultramylonite, fine-grained, quartzofeldspathic. CHILDARA 2nd edition."
"Ln4","L--n----04","Tunkillia Suite unit 4","Amphibolite dykes, fine to medium-grained, dark green, weakly foliated. CHILDARA 2nd edition."
"Ln5","L--n----05","Tunkillia Suite unit 5","Rhyolite, rhyodacite dykes, brick red, coarse K-feldspar phenocrysts. CHILDARA 2nd edition."
"Ln6","L--n----06","Tunkillia Suite unit 6","Aplite dykes. CHILDARA 2nd edition."
"Lnn","L--n-n","Nummee Granodiorite","Granodiorite, medium-grained, aligned plagioclase megacrysts to 8cm; linear zone rich in xenoliths. 1692 ± 4 Ma."
"Lns","L--n-s","Symons Granite","Granite and augen gneiss, pink, porphyritic. Foliated. Age 1690+/-10(U-Pb)."
"Lp","L--p","St Peter Suite","Granite; monzogranite; granodiorite; diorite; amphibolite; dolerite; local lamprophyre. Comagmatic suite with magma mingling and magmatic layering. Calc-alkaline,  I-type, 1633-1608 Ma."
"Lp1","L--p----01","St Peter Suite unit 1","Granite/adamellite, pink, fine to coarse massive to moderately foliated. Comagmatic with Lp2, Lp3, Lp5. Based on Prot-gamma-2 on STREAKY BAY, Prot-gamma-3 on NUYTS."
"Lp10","L--p----10","St Peter Suite unit 10","Migmatitic granodiorite/granitic gneiss; amphibolite; granite, granite gneiss. Based on Prot-gamma-1 on NUYTS (Rocky Point area) and Prot-gamma-1 on STREAKY BAY."
"Lp2","L--p----02","St Peter Suite unit 2","Amphibolite, diorite, dolerite, lamprophyre dykes. Comagmatic with Lp1, Lp3, Lp5. Based on Prot-beta-1 on STREAKY BAY, NUYTS."
"Lp3","L--p----03","St Peter Suite unit 3","Fine-medium granodiorite/adamellite dykes. Comagmatic with Lp1, Lp2, Lp5. Age 1620+/-4Ma. Based on Prot-gamma-3 on STREAKY BAY, Prot-gamma-4 on NUYTS."
"Lp4","L--p----04","St Peter Suite unit 4","Granite, grey, coarse, garnet-bearing . Based on Prot-gamma-5 on NUYTS."
"Lp5","L--p----05","St Peter Suite unit 5","Medium grained, foliated porphyritic granodiorite, adamellite. Comagmatic with Lp1, Lp2, Lp3. Based on Prot-gamma-4 on STREAKY BAY."
"Lp6","L--p----06","St Peter Suite unit 6","Granite, medium, pink, weakly foliated porphyritic plugs/dykes. Based on Prot-gamma-5 on STREAKY BAY."
"Lp7","L--p----07","St Peter Suite unit 7","Adamellite to granodiorite, fine to medium grained, pink to pale orange. CHILDARA 2nd edition: interim unit for compilation."
"Lp8","L--p----08","St Peter Suite unit 8","Granite to adamellite, strongly foliated, minor Ca-rich garnet. CHILDARA 2nd edition: interim unit for compilation."
"Lp9","L--p----09","St Peter Suite unit 9","Granite gneiss, mylonitic, medium-grained, pink to pale orange. CHILDARA 2nd edition: interim unit for compilation."
"Lq","L-q","Mount Woods Complex","Paragneiss, psammitic, pelitic, magnetite-bearing, calc-silicate, BIF, metaconglomerate: maximum depositional ages include ~1750 and ~1720 Ma, metamorphism ~1736 Ma; orthogneiss, granitic; amphibolite; monzogranite, foliated, ?1708 and 1691 Ma."
"Lq1","L-q-----01","Mount Woods Complex unit 1","Orthogneiss, coarse-grained, feldspar+garnet+biotite+quartz, porphyroblastic euhedral feldspars, strong fabric."
"Lq2","L-q-----02","Mount Woods Complex unit 2","Orthogneiss, pink, quartz+feldspar+biotite, foliated."
"Lqc","L-q--c","Coodnambana Metaconglomerate","Metaconglomerate, polymict, clasts aligned/elongated layer-parallel, psammitic matrix of quartz+sillimanite+tourmaline+haematite.  Psammite layer with graded bedding. Detrital populations  ~1850 Ma, 1749+/-6 Ma; 1595+/-10 Ma metamorphic age (U-Pb)."
"Lqe","L-q--e","Engenina Monzogranite","Granite, coarse, euhedral feldspar phenocrysts, groundmass of biotite+plagioclase+K-feldspar+quartz+/-magnetite. Age (U-Pb) 1691+/-25 Ma."
"Lr","L--r","Radium Creek Metamorphics","Schist, psammitic to pelitic, garnet-sericite, quartz-feldspar-mica; gneiss, calc-silicate, quartz-feldspar-mica; amphibolite, calc-silicate, siliceous; marble, calc-silicate; quartzite, orthoquartzite, feldspathic; migmatite."
"Ls","L-qs","Skylark Metasediments","Metasediments, psammitic, pelitic, quartzofeldspathic, calcsilicate, magnetite-enriched.  Amphibolite to granulite facies metamorphism.  Detrital ages include ~1750 Ma and ~1850 Ma.  Metamorphism interpreted  ~1590Ma."
"Ls10","L-qs----10","Skylark Metasediments unit 10","Calc-silicate rock, pale non magnetic, commonly interbedded with magnetite rich bands; dolomite breccia, minor olivine and pyroxene as small crystals and aggregates.  Mount Woods Domain."
"Ls4","L-qs----04","Skylark Metasediments unit 4","Metasediments, psammitic, quartz+magnetite+microcline+/-cordierite with lesser garnet+sillimanite+biotite+/-apatite.  Fine compositional banding.   Detrital population 1752+/-6 Ma (U-Pb zircon)."
"Ls5","L-qs----05","Skylark Metasediments unit 5","Psammite and garnet pelite,  quartz+microcline+magnetite with lesser cordierite+sillimanite+biotite. Thinly bedded."
"Ls6","L-qs----06","Skylark Metasediments unit 6","Metasediment, magnetic, irregularly brecciated, clast-rich with matrix of K-feldspar-rich melt rock."
"Ls7","L-qs----07","Skylark Metasediments unit 7","Pelite, quartz+feldspar+biotite+magnetite, fine grained, with sporadically distributed sillimanite porphyroblasts."
"Ls8","L-qs----08","Skylark Metasediments unit 8","Pelite, quartz+feldspar+garnet+cordierite+spinel+sillimanite+biotite.  Magnetite-poor.  Metamorphosed to granulite facies.   Detrital population 1748+/-9Ma (U-Pb zircon)."
"Ls9","L-qs----09","Skylark Metasediments unit 9","Schist, quartz+biotite+garnet, banded; gneiss, coarse, leucocratic, quartz+plagioclase+K-feldspar, with minor biotite and rare garnet. Interlayered in thin layers (1-2 m)."
"Lt","L--t","Palaeoproterozoic Grouping T rocks","Informal ""grouping T""; contains named units. Shale, quartzite and conglomerate (Tarcoola Formation), felsic to mafic volcanics (Ward Volcanics)."
"Ltt","L--t-t","Tarcoola Formation","Quartzite; siltstone to shale, pyritic and carbonaceous; conglomerate, polymict; minor tuff. Fluvial to marginal marine. 1654 Ma."
"Lttf","L--t-tf","Fabian Quartzite Member","Quartzite, well sorted, laminated to thin bedded, with clay pellets, ripple marks and mudcracks, with micritic dolomite and stromatolites. Interbedded with well sorted quartzite."
"Lttf1","L--t-tf-01","Fabian Quartzite Member unit 1","Quartzite, silicified conglomeratic . Based on lower portion of Fabian Quartzite Member on KINGOONYA."
"Lttp","L--t-tp","Peela Conglomerate Member","Conglomerate, arkosic quartzite; green lithic sandstone. With pebbles of Wilgena Hill Jaspilite at the base. Alluvial fan deposits near faults."
"Ltts","L--t-ts","Sullivan Shale Member","Quartzite; interbedded with laminated carbonaceous and pyritic siltstone and shale. Age 1656+/-7 Ma."
"Ltw","L--t-w","Ward Volcanics","Rhyodacitic-basaltic tuffs and volcaniclastics. Age 1656+/-7 Ma. Interbedded with Sullivan Shale Member, and Fabian Quartzite Member."
"Lu","L--u","Muckanippie Suite","Anorthosite; gabbro; diorite. Late stage gabbro dykes. Poorly foliated."
"Lv","L--v","Silver City Suite","Metagranite: quartz+feldspar+biotite+/-garnet+/-sillimanite+/-muscovite gneiss, even-grained to megacrystic, elongate parallel to enclosing stratigraphy; S-type, age 1704-1683Ma (U-Pb)."
"Lvm","L--v-m","Mutooroo Gneiss","Augen gneiss, well-foliated, biotite-rich, adamellitic to granodioritic; intrusive (often as high level sills) into Willyama Supergroup metasediments."
"Lw","L-w","Willyama Supergroup","Psammopelite; psammite; pelite; metasediments characterised by calc-silicate minerals and alkali feldspar, magnetite- or haematite-bearing; local iron formation, sulphidic metasediments, carbonate rocks. ~1720-1640 Ma."
"Lw-c","L-w--c","Clevedale Migmatite","Migmatite, metasedimentary, pelitic to psammitic, quartz+plagioclase+kfeldspar+biotite+garnet+cordierite+sillimanite, some albitic alteration.  Granitic or pegmatitic mobile/melt content >50 percent."
"Lw-p","L-w--p","Portia Formation","Metasiltstone, laminated; characterised by sulphide (mainly pyrite), calcsilicate and minor marble. Locally tuffaceous."
"Lw-t","L-w--t","Thorndale Composite Gneiss","Gneiss, metasedimentary, pelitic to psammitic, layered, quartz+plagioclase+kfeldspar+biotite+garnet+cordierite+sillimanite.  Granitic or pegmatitic mobile/melt content 10-50 percent.  Age 1720Ma or older."
"Lw1","L-w-----01","Willyama Supergroup unit 1","Undiff. schist, gneiss, quartzite, migmatite. Based on Prot-ws on CURNAMONA and OLARY."
"Lw10","L-w-----10","Willyama Supergroup unit 10","Fine-grained albite rock. Based on Prot-wa1 on CURNAMONA."
"Lw11","L-w-----11","Willyama Supergroup unit 11","Massive albite rock. Based on Prot-wa2 on CURNAMONA."
"Lw12","L-w-----12","Willyama Supergroup unit 12","Albite-calc-silicate rock. Based on Prot-wa3 on CURNAMONA."
"Lw13","L-w-----13","Willyama Supergroup unit 13","Albite breccia. Based on Prot-wa4 on CURNAMONA."
"Lw14","L-w-----14","Willyama Supergroup unit 14","Albite schist/gneiss, albite breccia, graphitic/micaceous schist, calc-silicate, gneiss. Based on Prot-ws2 on OLARY."
"Lw15","L-w-----15","Willyama Supergroup unit 15","Semipelitic migmatitic gneiss. Based on Prot-wo on OLARY."
"Lw16","L-w-----16","Willyama Supergroup unit 16","Calc-silicate, marble, quartzite, albite schist/gneiss, gossan. Based on Prot-we on OLARY and CURNAMONA."
"Lw17","L-w-----17","Willyama Supergroup unit 17","Gossan. Based on unit g on CURNAMONA."
"Lw18","L-w-----18","Willyama Supergroup unit 18","Siliceous metasiltstone. Based on unit Prot-wt on CURNAMONA."
"Lw19","L-w-----19","Willyama Supergroup unit 19","Schist, aluminous/carbonaceous/chloritoid . Based on unit Prot-wk on CURNAMONA."
"Lw2","L-w-----02","Willyama Supergroup unit 2","Migmatite, gneiss, granitoids. Based on Prot-wm on CURNAMONA and OLARY."
"Lw20","L-w-----20","Willyama Supergroup unit 20","Schist, quartzite. Based on unit Prot-ws1 on CURNAMONA."
"Lw21","L-w-----21","Willyama Supergroup unit 21","Carbonaceous/pelitic schist, calc-silicate, schist, quartzite, metagreywacke, amphibolite. Based on Prot-wk on OLARY."
"Lw22","L-w-----22","Willyama Supergroup unit 22","Granitic migmatite. Based on Prot-wz on OLARY."
"Lw23","L-w-----23","Willyama Supergroup unit 23","Aplitic gneiss. Based on Prot-wa on OLARY."
"Lw24","L-w-----24","Willyama Supergroup unit 24","Gneiss, coarse, psammo-pelitic biotite, minor quartz-plagioclase gneiss. Based on Prot-wb on OLARY."
"Lw25","L-w-----25","Willyama Supergroup unit 25","Granitoids, foliated albite-quartz-biotite, semiconcordant. Based on Prot-w-gamma on OLARY."
"Lw26","L-w-----26","Willyama Supergroup unit 26","Undifferentiated chemical sediments: magnetite with variable quartz, albite, sulphides, barite, apatite.  Based on f on CURNAMONA."
"Lw27","L-w-----27","Willyama Supergroup unit 27","Undifferentiated albitic rocks: fine-grained laminated, massive, calcsilicate-bearing, brecciated.  Based on Prot-wa on CURNAMONA."
"Lw28","L-w-----28","Willyama Supergroup unit 28","Willyama Supergroup, Olary Domain, generally amphibolite-facies: Psammopelite; psammite; pelite; metasediments characterised by calc-silicate minerals and alkali feldspar, magnetite- or haematite-bearing; local iron formation, sulphidic metasediments, carbonate rocks.  Contains amphibolite intrusions of Lady Louise Suite."
"Lw29","L-w-----29","Willyama Supergroup unit 29","Willyama Supergroup, Broken Hill Domain, generally granulite-facies: Psammopelite; psammite; pelite; metasediments characterised by calc-silicate minerals and alkali feldspar, magnetite- or haematite-bearing; local iron formation, sulphidic metasediments, carbonate rocks. Contains 2-pyroxene mafic granulite intrusions of Lady Louise Suite."
"Lw3","L-w-----03","Willyama Supergroup unit 3","Iron formation. Based on f1 on CURNAMONA."
"Lw4","L-w-----04","Willyama Supergroup unit 4","Sulphidic quartzite. Based on f2 on CURNAMONA."
"Lw5","L-w-----05","Willyama Supergroup unit 5","Albite, magnetite, pyrite rock. Based on f3 on CURNAMONA."
"Lw6","L-w-----06","Willyama Supergroup unit 6","Calc-silicate, albite rock. Based on unit e on OLARY."
"Lw7","L-w-----07","Willyama Supergroup unit 7","Schist, gneiss, migmatite, magnetite quartzite, hornblende gneiss. Based on Prot-wf on OLARY."
"Lw8","L-w-----08","Willyama Supergroup unit 8","Gneiss, plagioclase-magnetite quartzite. Based on Prot-wg1 on OLARY."
"Lw9","L-w-----09","Willyama Supergroup unit 9","Quartz-magnetite+/-albite rock, sulphides, barite. Based on unit f on OLARY."
"Lwa","L-wa","Saltbush Group","Psammopelite, schistose; psammite layers, locally graded; minor tourmalinite; Mn-coticules and iron formation near base. U-Pb age near base 1693+/-3 Ma."
"Lwa1","L-wa----01","Saltbush Group unit 1","Larry Macs Subgroup and Raven Hill Subgroup: metasiltstone, psammite, psammopelite, psammite and pelite; marble; calcsilicate rock. Variably sulphidic, base-metal-anomalous, graphitic or tuffaceous in lower part. 1693+/4 Ma."
"Lwaw","L-wa-w","Walparuta Formation","Schist, pelitic to psammopelitic, local calc-silicate ellipsoids; lesser psammite layers, graded."
"Lwaw1","L-wa-w--01","Walparuta Formation unit 1","Pelite, graphitic, with andalusite, basal unit."
"Lwb","L-wb","Broken Hill Group","Ironstone; sulphide rich; marble; plagioclase rich metasediment; calc-silicate; siliciclastic pelite; BIF; amphibolite, variably brecciated."
"Lwba","L-wb-a","Allendale Metasediments","Metasediments, pelitic to psammopelitic/psammitic, thinly and regularly bedded; composite gneiss, feldspathic, garnet-bearing."
"Lwbae","L-wb-ae","Ettlewood Calc-silicate Member","Calc-silicate rock, epidote and clinopyroxene-rich, pale, planar to irregularly layered."
"Lwbh","L-wb-h","Hores Gneiss","Felsic gneiss, fine- to medium-grained, quartz+andesine+K feldspar+biotite, garnet-bearing, locally migmatitic.  Interpreted as a volcaniclastic rock. Age 1685±3 Ma (U-Pb)."
"Lwc","L-wc","Curnamona Group","Metasediments characterised by calc-silicate minerals and alkali feldspar, magnetite- or haematite-bearing; local iron formation, some barite-bearing. Includes volcanogenic metasediments related to Abminga Subsuite."
"Lwe","L-wce","Ethiudna Subgroup","Metasediments and local volcanic rocks; characterised by calc-silicate minerals and alkali feldspar.  Generally magnetite- or haematite-bearing. Local pseudomorphs of diagenetic or evaporitic minerals."
